,,,N_101,N_102,N_103,N_104,N_105,N_106,N_107,N_108,N_109,N_110,N_111,N_112,N_113,N_114,N_115,N_116,N_117,N_118,N_119,N_120,N_121,N_122,N_123,N_124
sc01,y2030,2030-01-02T01:00:00+01:00,104.6902997,94.02739876,174.4838328,71.73224235,68.82417847,131.8322292,121.1693283,165.7596411,169.6370596,189.0241521,0,0,256.878976,188.0547975,307.2854166,96.93546264,0,322.7950906,175.4531874,124.0773922,0,0,0,0
sc01,y2030,2030-01-02T02:00:00+01:00,96.43670281,86.61444605,160.727838,66.07700008,63.39820278,121.438811,111.6165542,152.6914461,156.2631759,174.1218245,0,0,236.6270949,173.2288921,283.0595814,89.29324335,0,297.3465003,161.6207705,114.2953515,0,0,0,0
sc01,y2030,2030-01-02T03:00:00+01:00,90.04401593,80.87286616,150.0733599,61.69682573,59.19560306,113.3887608,104.217611,142.5696919,145.9046554,162.5794732,0,0,220.9413354,161.7457323,264.2958616,83.37408882,0,277.6357158,150.9071008,106.7188337,0,0,0,0
sc01,y2030,2030-01-02T04:00:00+01:00,89.8619219,80.70931874,149.7698698,61.5720576,59.0758931,113.1594572,104.0068541,142.2813763,145.6095957,162.2506923,0,0,220.4945306,161.4186375,263.7613819,83.20548324,0,277.0742592,150.6019247,106.5030185,0,0,0,0
sc01,y2030,2030-01-02T05:00:00+01:00,90.96137608,81.69679148,151.6022935,62.32538732,59.79868242,114.5439551,105.2793705,144.0221788,147.3911187,164.2358179,0,0,223.1922654,163.393583,266.9884835,84.22349637,0,280.4642429,152.4445284,107.8060754,0,0,0,0
sc01,y2030,2030-01-02T06:00:00+01:00,92.43529504,83.02058906,154.0588251,63.33529475,60.76764766,116.4000012,106.9852952,146.3558838,149.7794133,166.8970605,0,0,226.8088258,166.0411781,271.3147086,85.58823615,0,285.0088264,154.9147074,109.5529423,0,0,0,0
sc01,y2030,2030-01-02T07:00:00+01:00,101.353471,91.03043225,168.9224516,69.44589677,66.63052257,127.6302968,117.3072581,160.476329,164.2301613,182.9993226,0,0,248.6913871,182.0608645,297.4912064,93.84580644,0,312.5065354,169.8609097,120.1226322,0,0,0,0
sc01,y2030,2030-01-02T08:00:00+01:00,116.0431519,104.223942,193.4052532,79.51104854,76.28762765,146.1284135,134.3092036,183.7349905,188.0328851,209.5223576,0,0,284.7355117,208.447884,340.6081404,107.4473629,0,357.7997184,194.4797268,137.5326245,0,0,0,0
sc01,y2030,2030-01-02T09:00:00+01:00,130.6866209,117.3759465,217.8110348,89.54453651,85.9143526,164.5683374,151.257663,206.920483,211.7607282,235.9619543,0,0,320.6662456,234.751893,383.5894334,121.0061304,0,402.9504143,219.0210961,154.8878469,0,0,0,0
sc01,y2030,2030-01-02T10:00:00+01:00,138.3716143,124.2782092,230.6193572,94.8101802,90.96652424,174.2457366,160.1523314,219.0883894,224.213264,249.837637,0,0,339.5229426,248.5564184,406.1463125,128.1218651,0,426.6458109,231.9005759,163.9959874,0,0,0,0
sc01,y2030,2030-01-02T11:00:00+01:00,145.1652588,130.3799083,241.9420979,99.46508471,95.43271641,182.8006962,168.0153458,229.8449931,235.2214841,262.1039394,0,0,356.1925331,260.7598167,426.0869169,134.4122766,0,447.5928812,243.2862207,172.0477141,0,0,0,0
sc01,y2030,2030-01-02T12:00:00+01:00,144.6607156,129.9267538,241.1011927,99.11937922,95.10102601,182.1653456,167.4313838,229.0461331,234.4039374,261.1929588,0,0,354.9545337,259.8535077,424.6059894,133.9451071,0,446.0372065,242.4406438,171.449737,0,0,0,0
sc01,y2030,2030-01-02T13:00:00+01:00,143.2728381,128.6802343,238.7880636,98.16842613,94.18862507,180.417648,165.8250441,226.8486604,232.1550618,258.6870689,0,0,351.5490936,257.3604685,420.5323119,132.6600353,0,441.7579176,240.1146639,169.8048452,0,0,0,0
sc01,y2030,2030-01-02T14:00:00+01:00,139.1163297,124.9470739,231.8605496,95.32044816,91.45610567,175.1835263,161.0142705,220.2675221,225.4199788,251.182262,0,0,341.3502535,249.8941479,408.3321901,128.8114164,0,428.9420167,233.1486637,164.878613,0,0,0,0
sc01,y2030,2030-01-02T15:00:00+01:00,139.1163297,124.9470739,231.8605496,95.32044816,91.45610567,175.1835263,161.0142705,220.2675221,225.4199788,251.182262,0,0,341.3502535,249.8941479,408.3321901,128.8114164,0,428.9420167,233.1486637,164.878613,0,0,0,0
sc01,y2030,2030-01-02T16:00:00+01:00,132.8001708,119.2742275,221.333618,90.99270964,87.30381601,167.2298447,153.7039014,210.2669371,215.185462,239.7780862,0,0,325.852271,238.548455,389.793094,122.9631211,0,409.4671934,222.5632493,157.3927951,0,0,0,0
sc01,y2030,2030-01-02T17:00:00+01:00,130.3090881,117.0368661,217.1818134,89.28585664,85.66615975,164.0929257,150.8207038,206.3227228,211.1489853,235.2802979,0,0,319.739892,234.0737323,382.4813048,120.656563,0,401.7863549,218.3883791,154.4404007,0,0,0,0
sc01,y2030,2030-01-02T18:00:00+01:00,131.1815469,117.8204635,218.6359116,89.88365253,86.23972067,165.1915776,151.8304941,207.704116,212.5626918,236.8555709,0,0,321.8806476,235.6409269,385.0421332,121.4643953,0,404.4764364,219.8505555,155.474426,0,0,0,0
sc01,y2030,2030-01-02T19:00:00+01:00,146.9254642,131.9608336,244.8757736,100.6711514,96.58988848,185.0172512,170.0526206,232.6319849,238.0736688,265.2820881,0,0,360.5115556,263.9216671,431.2534457,136.0420964,0,453.0201812,246.2361946,174.1338835,0,0,0,0
sc01,y2030,2030-01-02T20:00:00+01:00,146.8180271,131.8643392,244.6967119,100.5975371,96.51925857,184.8819601,169.9282721,232.4618763,237.899581,265.0881045,0,0,360.2479369,263.7286784,430.9380981,135.9426177,0,452.688917,246.056138,174.0065507,0,0,0,0
sc01,y2030,2030-01-02T21:00:00+01:00,142.7070981,128.1721159,237.8451635,97.78078943,93.81670337,179.7052346,165.1702524,225.9529053,231.2383534,257.6655938,0,0,350.1609351,256.3442317,418.8717601,132.1362019,0,440.0135524,239.1665255,169.1343385,0,0,0,0
sc01,y2030,2030-01-02T22:00:00+01:00,134.3956921,120.707242,223.9928202,92.08593719,88.35272352,169.2390197,155.5505696,212.7931792,217.7707974,242.6588885,0,0,329.7672075,241.414484,394.4762445,124.4404557,0,414.3867174,225.2372247,159.2837832,0,0,0,0
sc01,y2030,2030-01-02T23:00:00+01:00,121.5683471,109.1863859,202.6139119,83.29683045,79.91993192,153.0860668,140.7041055,192.4832163,196.9857477,219.4984046,0,0,298.2927036,218.3727717,356.8256115,112.5632844,0,374.835737,203.7395447,144.081004,0,0,0,0
sc01,y2030,2030-01-03T00:00:00+01:00,112.8884108,101.3905171,188.1473513,77.34946664,74.21367745,142.1557765,130.6578828,178.7399837,182.921036,203.8262972,0,0,276.9947116,202.7810342,331.3483909,104.5263063,0,348.0725999,189.1926144,133.793672,0,0,0,0
sc01,y2030,2030-01-03T01:00:00+01:00,101.788173,91.4208591,169.646955,69.74374818,66.91629893,128.1776994,117.8103854,161.1646073,164.9345396,183.7842013,0,0,249.7580171,182.8417182,298.7671375,94.24830835,0,313.8468668,170.5894381,120.6378347,0,0,0,0
sc01,y2030,2030-01-03T02:00:00+01:00,94.6228682,84.98535384,157.7047803,64.83418747,62.20577446,119.1547229,109.5172086,149.8195413,153.324092,170.8468454,0,0,232.1764821,169.9707077,277.7356409,87.61376685,0,291.7538436,158.580918,112.1456216,0,0,0,0
sc01,y2030,2030-01-03T03:00:00+01:00,88.95250015,79.89252328,148.2541669,60.94893529,58.4780325,112.0142594,102.9542826,140.8414586,144.1359956,160.6086808,0,0,218.2630791,159.7850466,261.0920606,82.36342606,0,274.2702088,149.0778012,105.4251854,0,0,0,0
sc01,y2030,2030-01-03T04:00:00+01:00,88.93103729,79.87324645,148.2183955,60.93422925,58.46392266,111.9872321,102.9294413,140.8074757,144.1012178,160.5699284,0,0,218.2104156,159.7464929,261.0290631,82.34355304,0,274.2040316,149.041831,105.3997479,0,0,0,0
sc01,y2030,2030-01-03T05:00:00+01:00,91.60452949,82.27443853,152.6742158,62.7660665,60.22149624,115.353852,106.023761,145.040505,148.4332654,165.3970671,0,0,224.7703733,164.5488771,268.8762579,84.81900879,0,282.4472993,153.5224059,108.5683313,0,0,0,0
sc01,y2030,2030-01-03T06:00:00+01:00,99.98568559,89.80195835,166.6428093,68.5087105,65.73133034,125.9079004,115.7241731,158.3106689,162.0138424,180.5297101,0,0,245.335247,179.6039167,293.4765031,92.57933851,0,308.2891972,167.5686027,118.5015533,0,0,0,0
sc01,y2030,2030-01-03T07:00:00+01:00,115.6647,103.8840361,192.7745,79.2517389,76.03883056,145.6518445,133.8711806,183.135775,187.4196528,208.8390417,0,0,283.8069028,207.7680722,339.4973139,107.0969445,0,356.632825,193.8454695,137.0840889,0,0,0,0
sc01,y2030,2030-01-03T08:00:00+01:00,128.1501944,115.0978598,213.5836573,87.80661466,84.24688704,161.3743188,148.3219842,202.9044744,207.6507779,231.3822954,0,0,314.4426066,230.1957195,376.144552,118.6575874,0,395.129766,214.7702332,151.8817119,0,0,0,0
sc01,y2030,2030-01-03T09:00:00+01:00,139.8904375,125.6423374,233.1507292,95.85085535,91.96500986,176.1583287,161.9102286,221.4931928,226.6743201,252.5799567,0,0,343.2496847,251.2846748,410.6043398,129.5281829,0,431.3288491,234.4460111,165.7960741,0,0,0,0
sc01,y2030,2030-01-03T10:00:00+01:00,146.8332898,131.8780473,244.7221497,100.6079949,96.52929238,184.9011798,169.9459373,232.4860422,237.9243122,265.1156622,0,0,360.2853871,263.7560947,430.982897,135.9567498,0,452.735977,246.0817172,174.0246398,0,0,0,0
sc01,y2030,2030-01-03T11:00:00+01:00,155.0065873,139.2188793,258.3443122,106.2082172,101.9024787,195.1934803,179.4057723,245.4270966,251.1680813,279.8730048,0,0,380.3402374,278.4377587,454.9730386,143.5246179,0,477.9369775,259.7795583,183.7115109,0,0,0,0
sc01,y2030,2030-01-03T12:00:00+01:00,155.1270874,139.3271063,258.5451457,106.2907821,101.9816964,195.3452212,179.5452401,245.6178884,251.3633361,280.0905745,0,0,380.635909,278.6542126,455.3267288,143.6361921,0,478.3085196,259.9815076,183.8543258,0,0,0,0
sc01,y2030,2030-01-03T13:00:00+01:00,154.7251084,138.9660696,257.8751807,106.0153521,101.7174324,194.8390254,179.0799866,244.9814217,250.7119813,279.3647791,0,0,379.6495716,277.9321392,454.1468461,143.2639893,0,477.0690844,259.3078206,183.3779063,0,0,0,0
sc01,y2030,2030-01-03T14:00:00+01:00,152.125925,136.6316178,253.5432083,104.2344301,100.00871,191.5659796,176.0716725,240.8660479,246.5003414,274.671809,0,0,373.2719456,273.2632357,446.5177614,140.857338,0,469.0549354,254.9517817,180.2973926,0,0,0,0
sc01,y2030,2030-01-03T15:00:00+01:00,152.125925,136.6316178,253.5432083,104.2344301,100.00871,191.5659796,176.0716725,240.8660479,246.5003414,274.671809,0,0,373.2719456,273.2632357,446.5177614,140.857338,0,469.0549354,254.9517817,180.2973926,0,0,0,0
sc01,y2030,2030-01-03T16:00:00+01:00,152.5101529,136.9767114,254.1835882,104.4976974,100.2613042,192.0498222,176.5163807,241.4744088,247.122933,275.3655539,0,0,374.2147271,273.9534229,447.6455415,141.2131046,0,470.2396382,255.5957193,180.7527739,0,0,0,0
sc01,y2030,2030-01-03T17:00:00+01:00,150.1697886,134.8747176,250.282981,102.8941144,98.7227314,189.1026968,173.8076257,237.768832,243.330676,271.1398961,0,0,368.4721665,269.7494351,440.7761388,139.0461006,0,463.0235149,251.673442,177.9790087,0,0,0,0
sc01,y2030,2030-01-03T18:00:00+01:00,148.0485245,132.9695081,246.7475408,101.4406557,97.32819666,186.4314753,171.3524589,234.4101638,239.8934425,267.3098359,0,0,363.2672129,265.9390162,434.5498358,137.0819671,0,456.4829505,248.1183605,175.4649179,0,0,0,0
sc01,y2030,2030-01-03T19:00:00+01:00,160.300995,143.9740418,267.1683249,109.8358669,105.3830615,201.8605122,185.533559,253.8099087,259.7469826,289.432352,0,0,393.331145,287.9480835,470.5131056,148.4268472,0,494.2614011,268.6525934,189.9863644,0,0,0,0
sc01,y2030,2030-01-03T20:00:00+01:00,159.2690189,143.0471744,265.4483648,109.1287722,104.7046328,200.5609868,184.3391422,252.1759466,258.0747991,287.5690619,0,0,390.7989816,286.0943488,467.4840647,147.4713138,0,491.0794749,266.923078,188.7632817,0,0,0,0
sc01,y2030,2030-01-03T21:00:00+01:00,154.0715775,138.379102,256.7859625,105.5675624,101.2877963,194.0160606,178.3235851,243.9466644,249.6530191,278.1847927,0,0,378.0460004,276.758204,452.2286118,142.6588681,0,475.0540307,258.2125512,182.6033511,0,0,0,0
sc01,y2030,2030-01-03T22:00:00+01:00,144.0453592,129.3740727,240.0755987,98.69774615,94.69648617,181.3904524,166.7191658,228.0718188,233.4068321,260.0818986,0,0,353.4446315,258.7481453,422.7998045,133.3753326,0,444.1398577,241.4093521,170.7204258,0,0,0,0
sc01,y2030,2030-01-03T23:00:00+01:00,127.865617,114.8422672,213.1093617,87.6116265,84.0598038,161.0159622,147.9926123,202.4538937,207.1896573,230.8684752,0,0,313.7443381,229.6845343,375.3092649,118.3940899,0,394.2523192,214.2933026,151.544435,0,0,0,0
sc01,y2030,2030-01-04T00:00:00+01:00,107.2732576,96.34727767,178.7887627,73.50204688,70.52223417,135.0848429,124.158863,169.8493245,173.8224082,193.6878262,0,0,263.2167895,192.6945553,314.8668765,99.32709038,0,330.759211,179.7820336,127.1386757,0,0,0,0
sc01,y2030,2030-01-04T01:00:00+01:00,96.63638541,86.7937906,161.0606424,66.21381963,63.52947559,121.6902631,111.8476683,153.0076102,156.5867356,174.4823625,0,0,237.1170568,173.5875812,283.6456868,89.47813464,0,297.9621884,161.9554237,114.5320123,0,0,0,0
sc01,y2030,2030-01-04T02:00:00+01:00,89.40351105,80.29759789,149.0058517,61.25796127,58.77453041,112.5821991,103.4762859,141.5555592,144.8668003,161.4230061,0,0,219.3697262,160.5951958,262.4158611,82.78102875,0,275.6608257,149.833662,105.9597168,0,0,0,0
sc01,y2030,2030-01-04T03:00:00+01:00,84.4131391,75.81550456,140.6885652,57.83863235,55.49382293,106.298027,97.70039248,133.6541369,136.7805495,152.4126123,0,0,207.124832,151.6310091,247.7681953,78.16031398,0,260.2738456,141.4701683,100.0452019,0,0,0,0
sc01,y2030,2030-01-04T04:00:00+01:00,84.22712125,75.64843297,140.3785354,57.71117567,55.37153341,106.0637823,97.48509404,133.3596086,136.4791317,152.0767467,0,0,206.6683994,151.2968659,247.2221985,77.98807523,0,259.7002905,141.1584162,99.82473629,0,0,0,0
sc01,y2030,2030-01-04T05:00:00+01:00,87.4864495,78.57579261,145.8107492,59.9444191,57.51423995,110.1681216,101.2574647,138.5202117,141.7604506,157.9616449,0,0,214.6658252,157.1515852,256.7889305,81.00597176,0,269.749886,146.6208089,103.6876439,0,0,0,0
sc01,y2030,2030-01-04T06:00:00+01:00,96.09963688,86.3117109,160.1660615,65.84604749,63.17661313,121.0143576,111.2264316,152.1577584,155.7170042,173.5132333,0,0,235.8000349,172.6234218,282.0702305,88.98114526,0,296.3072137,161.0558729,113.8958659,0,0,0,0
sc01,y2030,2030-01-04T07:00:00+01:00,112.7959563,101.3074793,187.9932605,77.28611822,74.15289721,142.0393524,130.5508754,178.5935975,182.7712255,203.6593656,0,0,276.7678558,202.6149586,331.0770199,104.4407003,0,347.787532,189.0376675,133.6840964,0,0,0,0
sc01,y2030,2030-01-04T08:00:00+01:00,126.1031149,113.2592791,210.1718582,86.40398614,82.90112184,158.7965151,145.9526793,199.6632653,204.333751,227.6861797,0,0,309.4196801,226.5185583,370.1359947,116.7621434,0,388.8179376,211.3394796,149.4555436,0,0,0,0
sc01,y2030,2030-01-04T09:00:00+01:00,138.1634938,124.0912861,230.2724897,94.6675791,90.82970427,173.9836589,159.9114512,218.7588652,223.8760316,249.4618638,0,0,339.0122765,248.1825722,405.5354402,127.9291609,0,426.0041059,231.5517813,163.749326,0,0,0,0
sc01,y2030,2030-01-04T10:00:00+01:00,144.551882,129.8290052,240.9198034,99.04480806,95.029478,182.0282959,167.305419,228.8738132,234.2275866,260.9964537,0,0,354.6874883,259.6580103,424.2865426,133.8443352,0,445.7016363,242.2582467,171.3207491,0,0,0,0
sc01,y2030,2030-01-04T11:00:00+01:00,153.7869398,138.1234552,256.3115663,105.3725328,101.1006734,193.6576279,177.9941433,243.495988,249.1918006,277.6708635,0,0,377.3475837,276.2469104,451.3931473,142.3953146,0,474.1763977,257.7355195,182.2660027,0,0,0,0
sc01,y2030,2030-01-04T12:00:00+01:00,153.6422602,137.9935114,256.0704336,105.2734005,101.0055599,193.4754387,177.82669,243.2669119,248.957366,277.4096364,0,0,376.9925828,275.9870229,450.9684858,142.261352,0,473.7303021,257.4930471,182.0945306,0,0,0,0
sc01,y2030,2030-01-04T13:00:00+01:00,152.9088513,137.3348017,254.8480856,104.7708796,100.5234115,192.5518869,176.9778372,242.1056813,247.7689721,276.085426,0,0,375.1930149,274.6696033,448.8157951,141.5822698,0,471.4689583,256.2639083,181.2253053,0,0,0,0
sc01,y2030,2030-01-04T14:00:00+01:00,151.53238,136.0985264,252.5539666,103.8277418,99.61850905,190.8185525,175.384699,239.9262683,245.5385786,273.6001305,0,0,371.8155619,272.1970529,444.7755967,140.3077592,0,467.2248382,253.9570442,179.5939318,0,0,0,0
sc01,y2030,2030-01-04T15:00:00+01:00,151.53238,136.0985264,252.5539666,103.8277418,99.61850905,190.8185525,175.384699,239.9262683,245.5385786,273.6001305,0,0,371.8155619,272.1970529,444.7755967,140.3077592,0,467.2248382,253.9570442,179.5939318,0,0,0,0
sc01,y2030,2030-01-04T16:00:00+01:00,151.0272997,135.6448895,251.7121662,103.4816683,99.28646554,190.1825255,174.8001154,239.1265579,244.7201615,272.68818,0,0,370.5762446,271.2897791,443.2930926,139.8400923,0,465.6675074,253.1105671,178.9953182,0,0,0,0
sc01,y2030,2030-01-04T17:00:00+01:00,148.5175965,133.3908043,247.5293275,101.7620569,97.63656808,187.0221586,171.8953663,235.1528611,240.6535129,268.1567715,0,0,364.4181766,266.7816085,435.926649,137.5162931,0,457.9292559,248.9044904,176.0208551,0,0,0,0
sc01,y2030,2030-01-04T18:00:00+01:00,147.3802356,132.3692857,245.6337261,100.9827541,96.88885862,185.5899264,170.5789764,233.3520398,238.810567,266.1032032,0,0,361.6274301,264.7385714,432.5882843,136.4631812,0,454.4223932,246.9983579,174.6728719,0,0,0,0
sc01,y2030,2030-01-04T19:00:00+01:00,158.5916705,142.4388152,264.3194509,108.6646631,104.2593389,199.7080295,183.5551742,251.1034783,256.9772439,286.3460718,0,0,389.1369693,284.8776304,465.4959218,146.8441394,0,488.9909841,265.7878923,187.9604984,0,0,0,0
sc01,y2030,2030-01-04T20:00:00+01:00,157.6676127,141.6088744,262.7793545,108.0315124,103.6518565,198.5444012,182.4856629,249.6403868,255.479928,284.6776341,0,0,386.8696053,283.2177488,462.783641,145.9885303,0,486.1418059,264.2392398,186.8653188,0,0,0,0
sc01,y2030,2030-01-04T21:00:00+01:00,152.1907739,136.6898618,253.6512899,104.2788636,100.0513421,191.6476413,176.1467291,240.9687254,246.6054207,274.7888974,0,0,373.4310657,273.3797235,446.708105,140.9173833,0,469.2548863,255.0604637,180.3742506,0,0,0,0
sc01,y2030,2030-01-04T22:00:00+01:00,142.5795625,128.05757,237.6326042,97.69340393,93.73286053,179.5446343,165.0226418,225.750974,231.0316985,257.4353212,0,0,349.8480006,256.11514,418.4974195,132.0181134,0,439.6203177,238.9527853,168.9831852,0,0,0,0
sc01,y2030,2030-01-04T23:00:00+01:00,126.4707523,113.589472,210.7845872,86.65588584,83.14280939,159.2594659,146.3781855,200.2453578,204.9294598,228.3499694,0,0,310.3217534,227.178944,371.2150785,117.1025484,0,389.9514863,211.9556127,149.891262,0,0,0,0
sc01,y2030,2030-01-05T00:00:00+01:00,114.6398243,102.9635459,191.0663738,78.54950925,75.36506968,144.3612602,132.6849818,181.5130552,185.7589746,206.9885717,0,0,281.2921615,205.9270918,336.4891139,106.1479855,0,353.4727916,192.1278537,135.8694214,0,0,0,0
sc01,y2030,2030-01-05T01:00:00+01:00,104.6902997,94.02739876,174.4838328,71.73224235,68.82417847,131.8322292,121.1693283,165.7596411,169.6370596,189.0241521,0,0,256.878976,188.0547975,307.2854166,96.93546264,0,322.7950906,175.4531874,124.0773922,0,0,0,0
sc01,y2030,2030-01-05T02:00:00+01:00,96.43670281,86.61444605,160.727838,66.07700008,63.39820278,121.438811,111.6165542,152.6914461,156.2631759,174.1218245,0,0,236.6270949,173.2288921,283.0595814,89.29324335,0,297.3465003,161.6207705,114.2953515,0,0,0,0
