,,,LineType,Voltage,LossFactor,Resistance,Reactance,Susceptance,TAP,TTC,SecurityFactor,FixedCost,FixedChargeRate,BinaryInvestment
N_308,N_309,cc1,AC,138,0.01,0.0427,0.1651,0.0447,1,250,0.5,,,
N_308,N_310,cc1,AC,138,0.01,0.0427,0.1651,0.0447,1,400,0.5,,,
N_309,N_311,cc1,AC,,0.01,0.0023,0.0839,0,1.03,400,0.5,,,
N_309,N_312,cc1,AC,,0.01,0.0023,0.0839,0,1.03,400,0.5,,,
N_310,N_311,cc1,AC,,0.01,0.0023,0.0839,0,1.015,400,0.5,,,
N_310,N_312,cc1,AC,,0.01,0.0023,0.0839,0,1.015,400,0.5,,,
N_311,N_313,cc1,AC,230,0.01,0.0061,0.0476,0.0999,1,750,0.5,,,
N_311,N_314,cc1,AC,230,0.01,0.0054,0.0418,0.0879,1,750,0.5,,,
N_312,N_313,cc1,AC,230,0.01,0.0061,0.0476,0.0999,1,750,0.5,,,
N_312,N_323,cc1,AC,230,0.01,0.0124,0.0966,0.203,1,750,0.5,,,
N_313,N_323,cc1,AC,230,0.01,0.0111,0.0865,0.1818,1,750,0.5,,,
N_314,N_316,cc1,AC,230,0.01,0.005,0.0389,0.0818,1,750,0.5,,,
N_315,N_316,cc1,AC,230,0.01,0.0022,0.0173,0.0364,1,750,0.5,,,
N_315,N_321,cc1,AC,230,0.01,0.0063,0.049,0.103,1,750,0.5,,,
N_315,N_321,cc2,AC,230,0.01,0.0063,0.049,0.103,1,750,0.5,,,
N_315,N_324,cc1,AC,230,0.01,0.0067,0.0519,0.1091,1,750,0.5,,,
N_316,N_317,cc1,AC,230,0.01,0.0033,0.0259,0.0545,1,750,0.5,,,
N_316,N_319,cc1,AC,230,0.01,0.003,0.0231,0.0485,1,750,0.5,,,
N_317,N_318,cc1,AC,230,0.01,0.0018,0.0144,0.0303,1,750,0.5,,,
N_317,N_322,cc1,AC,230,0.01,0.0135,0.1053,0.2212,1,750,0.5,,,
N_318,N_321,cc1,AC,230,0.01,0.0033,0.0259,0.0545,1,750,0.5,,,
N_318,N_321,cc2,AC,230,0.01,0.0033,0.0259,0.0545,1,750,0.5,,,
N_319,N_320,cc1,AC,230,0.01,0.0051,0.0396,0.0833,1,750,0.5,,,
N_319,N_320,cc2,AC,230,0.01,0.0051,0.0396,0.0833,1,750,0.5,,,
N_320,N_323,cc1,AC,230,0.01,0.0028,0.0216,0.0455,1,750,0.5,,,
N_320,N_323,cc2,AC,230,0.01,0.0028,0.0216,0.0455,1,750,0.5,,,
N_321,N_322,cc1,AC,230,0.01,0.0087,0.0678,0.1424,1,750,0.5,,,
N_325,N_121,cc1,AC,230,0.01,0.012,0.097,0.203,1,1000,0.5,,,
N_318,N_223,cc1,AC,230,0.01,0.013,0.104,0.218,1,1000,0.5,,,
N_323,N_325,cc1,AC,230,0.01,0,0.009,0,0,1000,0.5,,,
N_101,N_102,cc2,AC,138,0.01,0.0026,0.0139,0.04611,1,250,0.5,3,0.75,
N_101,N_103,cc2,AC,138,0.01,0.0546,0.2112,0.0572,1,250,0.5,55,0.75,
N_101,N_105,cc2,AC,138,0.01,0.0218,0.0845,0.0229,1,250,0.5,22,0.75,
N_102,N_104,cc2,AC,138,0.01,0.0328,0.1267,0.0343,1,250,0.5,33,0.75,
N_102,N_106,cc2,AC,138,0.01,0.0497,0.192,0.052,1,250,0.5,50,0.75,
N_103,N_109,cc2,AC,138,0.01,0.0308,0.119,0.0322,1,250,0.5,31,0.75,
N_103,N_124,cc2,AC,,0.01,0.023,0.0839,0,1.015,400,0.5,50,0.75,
N_104,N_109,cc2,AC,138,0.01,0.0268,0.1037,0.0281,1,250,0.5,27,0.75,
N_105,N_110,cc2,AC,138,0.01,0.0228,0.0883,0.0239,1,250,0.5,23,0.75,
N_106,N_110,cc2,AC,138,0.01,0.0139,0.0605,2.459,1,250,0.5,16,0.75,
N_107,N_108,cc2,AC,138,0.01,0.0159,0.0614,0.0166,1,250,0.5,16,0.75,
N_107,N_203,cc2,AC,138,0.01,0.042,0.161,0.044,1,1000,0.5,60,0.75,
N_108,N_109,cc2,AC,138,0.01,0.0427,0.1651,0.0447,1,250,0.5,43,0.75,
N_108,N_110,cc2,AC,138,0.01,0.0427,0.1651,0.0447,1,400,0.5,43,0.75,
N_109,N_111,cc2,AC,138,0.01,0.0023,0.0839,0,1.03,400,0.5,50,0.75,
N_109,N_112,cc2,AC,,0.01,0.0023,0.0839,0,1.03,400,0.5,50,0.75,
N_110,N_111,cc2,AC,138,0.01,0.0023,0.0839,0,1.015,400,0.5,50,0.75,
N_110,N_112,cc2,AC,,0.01,0.0023,0.0839,0,1.015,400,0.5,50,0.75,
N_111,N_113,cc2,AC,230,0.01,0.0061,0.0476,0.0999,1,750,0.5,66,0.75,
N_111,N_114,cc2,AC,230,0.01,0.0054,0.0418,0.0879,1,750,0.5,58,0.75,
N_112,N_113,cc2,AC,230,0.01,0.0061,0.0476,0.0999,1,750,0.5,66,0.75,
N_112,N_123,cc2,AC,230,0.01,0.0124,0.0966,0.203,1,750,0.5,67,0.75,
N_113,N_123,cc2,AC,230,0.01,0.0111,0.0865,0.1818,1,750,0.5,134,0.75,
N_113,N_215,cc2,AC,230,0.01,0.01,0.075,0.158,1,1000,0.5,70,0.75,
N_114,N_116,cc2,AC,230,0.01,0.005,0.0389,0.0818,1,750,0.5,54,0.75,
N_115,N_116,cc2,AC,230,0.01,0.0022,0.0173,0.0364,1,750,0.5,24,0.75,
N_115,N_124,cc2,AC,230,0.02,0.0067,0.0519,0.1091,1,500,0.5,72,0.75,
N_116,N_117,cc2,AC,230,0.02,0.0033,0.0259,0.0545,1,500,0.5,36,0.75,
N_116,N_119,cc2,AC,230,0.02,0.003,0.0231,0.0485,1,500,0.5,32,0.75,
N_117,N_118,cc2,AC,230,0.02,0.0018,0.0144,0.0303,1,500,0.5,20,0.75,
N_117,N_122,cc2,AC,230,0.02,0.0135,0.1053,0.2212,1,500,0.5,146,0.75,
N_121,N_122,cc2,AC,230,0.02,0.0087,0.0678,0.1424,1,500,0.5,94,0.75,
N_123,N_217,cc2,DC,230,0.02,0.01,0.074,0.155,1,500,0.5,70,0.75,
N_201,N_202,cc2,AC,138,0.02,0.0026,0.0139,0.04611,1,175,0.5,3,0.75,
N_201,N_203,cc2,AC,138,0.02,0.0546,0.2112,0.0572,1,175,0.5,55,0.75,
N_201,N_205,cc2,AC,138,0.02,0.0218,0.0845,0.0229,1,175,0.5,22,0.75,
N_202,N_204,cc2,AC,138,0.02,0.0328,0.1267,0.0343,1,175,0.5,33,0.75,
N_202,N_206,cc2,AC,138,0.02,0.0497,0.192,0.052,1,175,0.5,50,0.75,
N_203,N_206,cc2,AC,138,0.02,0.0308,0.119,0.0322,1,175,0.5,31,0.75,
N_203,N_224,cc2,AC,,0.02,0.023,0.0839,0,1.015,400,0.5,50,0.75,
N_204,N_209,cc2,AC,138,0.02,0.0268,0.1037,0.0281,1,175,0.5,27,0.75,
N_205,N_210,cc2,AC,138,0.02,0.0228,0.0883,0.0239,1,175,0.5,23,0.75,
N_206,N_210,cc2,AC,138,0.02,0.0139,0.0605,2.459,1,175,0.5,16,0.75,
N_207,N_208,cc2,AC,138,0.02,0.0159,0.0614,0.0166,1,175,0.5,16,0.75,
N_208,N_209,cc2,AC,138,0.02,0.0427,0.1651,0.0447,1,175,0.5,43,0.75,
N_208,N_210,cc2,AC,138,0.02,0.0427,0.1651,0.0447,1,400,0.5,43,0.75,
N_209,N_211,cc2,AC,,0.02,0.0023,0.0839,0,1.03,400,0.5,50,0.75,
N_209,N_212,cc2,AC,,0.02,0.0023,0.0839,0,1.03,400,0.5,50,0.75,
N_210,N_211,cc2,AC,138,0.02,0.0023,0.0839,0,1.015,400,0.5,50,0.75,
N_210,N_212,cc2,AC,,0.02,0.0023,0.0839,0,1.015,400,0.5,50,0.75,
N_211,N_213,cc2,AC,230,0.02,0.0061,0.0476,0.0999,1,500,0.5,66,0.75,
N_211,N_214,cc2,AC,230,0.02,0.0054,0.0418,0.0879,1,500,0.5,58,0.75,
N_212,N_213,cc2,AC,230,0.02,0.0061,0.0476,0.0999,1,500,0.5,66,0.75,
N_212,N_223,cc2,AC,230,0.02,0.0124,0.0966,0.203,1,500,0.5,67,0.75,
N_213,N_223,cc2,AC,230,0.02,0.0111,0.0865,0.1818,1,500,0.5,134,0.75,
N_214,N_216,cc2,AC,230,0.02,0.005,0.0389,0.0818,1,500,0.5,54,0.75,
N_215,N_216,cc2,AC,230,0.02,0.0022,0.0173,0.0364,1,500,0.5,24,0.75,
N_215,N_224,cc2,AC,230,0.02,0.0067,0.0519,0.1091,1,500,0.5,72,0.75,
N_216,N_217,cc2,AC,230,0.02,0.0033,0.0259,0.0545,1,500,0.5,36,0.75,
N_216,N_219,cc2,AC,230,0.02,0.003,0.0231,0.0485,1,500,0.5,32,0.75,
N_217,N_218,cc2,AC,230,0.02,0.0018,0.0144,0.0303,1,500,0.5,20,0.75,
N_217,N_222,cc2,AC,230,0.02,0.0135,0.1053,0.2212,1,500,0.5,146,0.75,
N_221,N_222,cc2,AC,230,0.02,0.0087,0.0678,0.1424,1,500,0.5,94,0.75,
N_301,N_302,cc2,AC,138,0.02,0.0026,0.0139,0.04611,1,175,0.5,3,0.75,
N_301,N_303,cc2,AC,138,0.02,0.0546,0.2112,0.0572,1,175,0.5,55,0.75,
N_301,N_305,cc2,AC,138,0.02,0.0218,0.0845,0.0229,1,175,0.5,22,0.75,
N_302,N_304,cc2,AC,138,0.02,0.0328,0.1267,0.0343,1,175,0.5,33,0.75,
N_302,N_306,cc2,AC,138,0.02,0.0497,0.192,0.052,1,175,0.5,50,0.75,
N_303,N_309,cc2,AC,138,0.02,0.0308,0.119,0.0322,1,175,0.5,31,0.75,
N_303,N_324,cc2,AC,,0.02,0.023,0.0839,0,1.015,400,0.5,50,0.75,
N_304,N_309,cc2,AC,138,0.02,0.0268,0.1037,0.0281,1,175,0.5,27,0.75,
N_305,N_310,cc2,AC,138,0.02,0.0228,0.0883,0.0239,1,175,0.5,23,0.75,
N_306,N_310,cc2,AC,138,0.02,0.0139,0.0605,2.459,1,175,0.5,16,0.75,
N_307,N_308,cc2,AC,138,0.02,0.0159,0.0614,0.0166,1,175,0.5,16,0.75,
N_308,N_309,cc2,AC,138,0.02,0.0427,0.1651,0.0447,1,175,0.5,43,0.75,
N_308,N_310,cc2,AC,138,0.02,0.0427,0.1651,0.0447,1,400,0.5,43,0.75,
N_309,N_311,cc2,AC,,0.02,0.0023,0.0839,0,1.03,400,0.5,50,0.75,
N_309,N_312,cc2,AC,,0.02,0.0023,0.0839,0,1.03,400,0.5,50,0.75,
N_310,N_311,cc2,AC,,0.02,0.0023,0.0839,0,1.015,400,0.5,50,0.75,
N_310,N_312,cc2,AC,,0.02,0.0023,0.0839,0,1.015,400,0.5,50,0.75,
N_311,N_313,cc2,AC,230,0.02,0.0061,0.0476,0.0999,1,500,0.5,66,0.75,
N_311,N_314,cc2,AC,230,0.02,0.0054,0.0418,0.0879,1,500,0.5,58,0.75,
N_312,N_313,cc2,AC,230,0.02,0.0061,0.0476,0.0999,1,500,0.5,66,0.75,
N_312,N_323,cc2,AC,230,0.02,0.0124,0.0966,0.203,1,500,0.5,67,0.75,
N_313,N_323,cc2,AC,230,0.02,0.0111,0.0865,0.1818,1,500,0.5,134,0.75,
N_314,N_316,cc2,AC,230,0.02,0.005,0.0389,0.0818,1,500,0.5,54,0.75,
N_315,N_316,cc2,AC,230,0.02,0.0022,0.0173,0.0364,1,500,0.5,24,0.75,
N_315,N_324,cc2,AC,230,0.02,0.0067,0.0519,0.1091,1,500,0.5,72,0.75,
N_316,N_317,cc2,AC,230,0.02,0.0033,0.0259,0.0545,1,500,0.5,36,0.75,
N_316,N_319,cc2,AC,230,0.02,0.003,0.0231,0.0485,1,500,0.5,32,0.75,
N_317,N_318,cc2,AC,230,0.02,0.0018,0.0144,0.0303,1,500,0.5,20,0.75,
N_317,N_322,cc2,AC,230,0.02,0.0135,0.1053,0.2212,1,500,0.5,146,0.75,
N_321,N_322,cc2,AC,230,0.02,0.0087,0.0678,0.1424,1,500,0.5,94,0.75,
N_325,N_121,cc2,DC,230,0.02,0.012,0.097,0.203,1,500,0.5,70,0.75,
N_318,N_223,cc2,DC,230,0.02,0.013,0.104,0.218,1,500,0.5,70,0.75,
N_323,N_325,cc2,DC,230,0.02,0,0.009,0,0,722,0.5,50,0.75,
