,,,,,MW 
sc01,y2030,1/1/2030 0:00,Solar_PV,Sol_S110,0
sc01,y2030,1/1/2030 0:00,Solar_PV,Sol_S111,0.0235
sc01,y2030,1/1/2030 1:00,Gas,Gas_C1,25
sc01,y2030,1/1/2030 1:00,Gas,Gas_C2,25
sc01,y2030,1/1/2030 1:00,Anthracite,Ant_C3,60
sc01,y2030,1/1/2030 1:00,Anthracite,Ant_C4,60
sc01,y2030,1/1/2030 1:00,Gas,Gas_C5,25
sc01,y2030,1/1/2030 1:00,Gas,Gas_C6,25
sc01,y2030,1/1/2030 1:00,Anthracite,Ant_C7,60
sc01,y2030,1/1/2030 1:00,Anthracite,Ant_C8,60
sc01,y2030,1/1/2030 1:00,Subbituminous,Sub_C9,0
sc01,y2030,1/1/2030 1:00,Subbituminous,Sub_C10,0
sc01,y2030,1/1/2030 1:00,Subbituminous,Sub_C11,0
sc01,y2030,1/1/2030 1:00,Subbituminous,Sub_C12,0
sc01,y2030,1/1/2030 1:00,Subbituminous,Sub_C13,0
sc01,y2030,1/1/2030 1:00,Subbituminous,Sub_C14,0
sc01,y2030,1/1/2030 1:00,Subbituminous,Sub_C16,0
sc01,y2030,1/1/2030 1:00,Subbituminous,Sub_C17,0
sc01,y2030,1/1/2030 1:00,Subbituminous,Sub_C18,0
sc01,y2030,1/1/2030 1:00,Subbituminous,Sub_C19,0
sc01,y2030,1/1/2030 1:00,Subbituminous,Sub_C20,0
sc01,y2030,1/1/2030 1:00,Gas,Gas_C21,40
sc01,y2030,1/1/2030 1:00,Gas,Gas_C22,40
sc01,y2030,1/1/2030 1:00,Nuclear,Nuc_N23,400
sc01,y2030,1/1/2030 1:00,Nuclear,Nuc_N24,400
sc01,y2030,1/1/2030 1:00,Hydro,Hyd_H25,0
sc01,y2030,1/1/2030 1:00,Hydro,Hyd_H26,0
sc01,y2030,1/1/2030 1:00,Hydro,Hyd_H27,100
sc01,y2030,1/1/2030 1:00,PumpedStorageHydro,Pum_H28,99.88889406
sc01,y2030,1/1/2030 1:00,PumpedStorageHydro,Pum_H29,500
sc01,y2030,1/1/2030 1:00,PumpedStorageHydro,Pum_H30,129.3122072
sc01,y2030,1/1/2030 1:00,Gas,Gas_C31,40
sc01,y2030,1/1/2030 1:00,Gas,Gas_C32,40
sc01,y2030,1/1/2030 1:00,Gas,Gas_C33,70
sc01,y2030,1/1/2030 1:00,Gas,Gas_C34,25
sc01,y2030,1/1/2030 1:00,Gas,Gas_C35,25
sc01,y2030,1/1/2030 1:00,Anthracite,Ant_C36,60
sc01,y2030,1/1/2030 1:00,Anthracite,Ant_C37,60
sc01,y2030,1/1/2030 1:00,Gas,Gas_C38,25
sc01,y2030,1/1/2030 1:00,Gas,Gas_C39,25
sc01,y2030,1/1/2030 1:00,Anthracite,Ant_C40,60
sc01,y2030,1/1/2030 1:00,Anthracite,Ant_C41,60
sc01,y2030,1/1/2030 1:00,Subbituminous,Sub_C42,0
sc01,y2030,1/1/2030 1:00,Subbituminous,Sub_C43,0
sc01,y2030,1/1/2030 1:00,Subbituminous,Sub_C44,0
sc01,y2030,1/1/2030 1:00,Subbituminous,Sub_C45,24.89800075
sc01,y2030,1/1/2030 1:00,Subbituminous,Sub_C46,1.18313825
sc01,y2030,1/1/2030 1:00,Subbituminous,Sub_C47,0
sc01,y2030,1/1/2030 1:00,Subbituminous,Sub_C49,0
sc01,y2030,1/1/2030 1:00,Subbituminous,Sub_C50,0
sc01,y2030,1/1/2030 1:00,Subbituminous,Sub_C51,0
sc01,y2030,1/1/2030 1:00,Subbituminous,Sub_C52,0
sc01,y2030,1/1/2030 1:00,Subbituminous,Sub_C53,0
sc01,y2030,1/1/2030 1:00,Gas,Gas_C54,40
sc01,y2030,1/1/2030 1:00,Gas,Gas_C55,40
sc01,y2030,1/1/2030 1:00,Nuclear,Nuc_N56,800
sc01,y2030,1/1/2030 1:00,Nuclear,Nuc_N57,800
sc01,y2030,1/1/2030 1:00,Hydro,Hyd_H58,0
sc01,y2030,1/1/2030 1:00,Hydro,Hyd_H59,100
sc01,y2030,1/1/2030 1:00,Hydro,Hyd_H60,100
sc01,y2030,1/1/2030 1:00,PumpedStorageHydro,Pum_H61,0
sc01,y2030,1/1/2030 1:00,PumpedStorageHydro,Pum_H62,0
sc01,y2030,1/1/2030 1:00,PumpedStorageHydro,Pum_H63,9.925794266
sc01,y2030,1/1/2030 1:00,Gas,Gas_C64,40
sc01,y2030,1/1/2030 1:00,Gas,Gas_C65,40
sc01,y2030,1/1/2030 1:00,Gas,Gas_C66,70
sc01,y2030,1/1/2030 1:00,Gas,Gas_C67,25
sc01,y2030,1/1/2030 1:00,Gas,Gas_C68,25
sc01,y2030,1/1/2030 1:00,Anthracite,Ant_C69,110
sc01,y2030,1/1/2030 1:00,Anthracite,Ant_C70,110
sc01,y2030,1/1/2030 1:00,Gas,Gas_C71,25
sc01,y2030,1/1/2030 1:00,Gas,Gas_C72,25
sc01,y2030,1/1/2030 1:00,Anthracite,Ant_C73,110
sc01,y2030,1/1/2030 1:00,Anthracite,Ant_C74,110
sc01,y2030,1/1/2030 1:00,Subbituminous,Sub_C75,0
sc01,y2030,1/1/2030 1:00,Subbituminous,Sub_C76,0
sc01,y2030,1/1/2030 1:00,Subbituminous,Sub_C77,0
sc01,y2030,1/1/2030 1:00,Subbituminous,Sub_C78,180
sc01,y2030,1/1/2030 1:00,Subbituminous,Sub_C79,180
sc01,y2030,1/1/2030 1:00,Subbituminous,Sub_C80,180
sc01,y2030,1/1/2030 1:00,Subbituminous,Sub_C82,0
sc01,y2030,1/1/2030 1:00,Subbituminous,Sub_C83,0
sc01,y2030,1/1/2030 1:00,Subbituminous,Sub_C84,0
sc01,y2030,1/1/2030 1:00,Subbituminous,Sub_C85,0
sc01,y2030,1/1/2030 1:00,Subbituminous,Sub_C86,0
sc01,y2030,1/1/2030 1:00,Gas,Gas_C87,40
sc01,y2030,1/1/2030 1:00,Gas,Gas_C88,40
sc01,y2030,1/1/2030 1:00,Nuclear,Nuc_N89,100
sc01,y2030,1/1/2030 1:00,Nuclear,Nuc_N90,100
sc01,y2030,1/1/2030 1:00,Hydro,Hyd_H91,0
sc01,y2030,1/1/2030 1:00,Hydro,Hyd_H92,0
sc01,y2030,1/1/2030 1:00,Hydro,Hyd_H93,161.0503137
sc01,y2030,1/1/2030 1:00,PumpedStorageHydro,Pum_H94,0
sc01,y2030,1/1/2030 1:00,PumpedStorageHydro,Pum_H95,0
sc01,y2030,1/1/2030 1:00,PumpedStorageHydro,Pum_H96,0
sc01,y2030,1/1/2030 1:00,Gas,Gas_C97,40
sc01,y2030,1/1/2030 1:00,Gas,Gas_C98,40
sc01,y2030,1/1/2030 1:00,Gas,Gas_C99,70
sc01,y2030,1/1/2030 1:00,Onshore_wind,Ons_W100,343.591875
sc01,y2030,1/1/2030 1:00,Onshore_wind,Ons_W101,173.64672
sc01,y2030,1/1/2030 1:00,Onshore_wind,Ons_W102,250
sc01,y2030,1/1/2030 1:00,Onshore_wind,Ons_W103,250
sc01,y2030,1/1/2030 1:00,Onshore_wind,Ons_W104,173.64672
sc01,y2030,1/1/2030 1:00,Onshore_wind,Ons_W105,347.29344
sc01,y2030,1/1/2030 1:00,Solar_PV,Sol_S106,0
sc01,y2030,1/1/2030 1:00,Solar_PV,Sol_S107,0
sc01,y2030,1/1/2030 1:00,Solar_PV,Sol_S108,0.025
sc01,y2030,1/1/2030 1:00,Solar_PV,Sol_S109,0
sc01,y2030,1/1/2030 1:00,Solar_PV,Sol_S110,0
sc01,y2030,1/1/2030 1:00,Solar_PV,Sol_S111,0.025
sc01,y2030,1/1/2030 2:00,Gas,Gas_C1,30
sc01,y2030,1/1/2030 2:00,Gas,Gas_C2,30
sc01,y2030,1/1/2030 2:00,Anthracite,Ant_C3,60
sc01,y2030,1/1/2030 2:00,Anthracite,Ant_C4,60
sc01,y2030,1/1/2030 2:00,Gas,Gas_C5,30
sc01,y2030,1/1/2030 2:00,Gas,Gas_C6,30
sc01,y2030,1/1/2030 2:00,Anthracite,Ant_C7,60
sc01,y2030,1/1/2030 2:00,Anthracite,Ant_C8,60
sc01,y2030,1/1/2030 2:00,Subbituminous,Sub_C9,0
sc01,y2030,1/1/2030 2:00,Subbituminous,Sub_C10,0
sc01,y2030,1/1/2030 2:00,Subbituminous,Sub_C11,0
sc01,y2030,1/1/2030 2:00,Subbituminous,Sub_C12,0
sc01,y2030,1/1/2030 2:00,Subbituminous,Sub_C13,0
sc01,y2030,1/1/2030 2:00,Subbituminous,Sub_C14,0
sc01,y2030,1/1/2030 2:00,Subbituminous,Sub_C16,0
sc01,y2030,1/1/2030 2:00,Subbituminous,Sub_C17,0
sc01,y2030,1/1/2030 2:00,Subbituminous,Sub_C18,0
sc01,y2030,1/1/2030 2:00,Subbituminous,Sub_C19,0
sc01,y2030,1/1/2030 2:00,Subbituminous,Sub_C20,0
sc01,y2030,1/1/2030 2:00,Gas,Gas_C21,50
sc01,y2030,1/1/2030 2:00,Gas,Gas_C22,50
sc01,y2030,1/1/2030 2:00,Nuclear,Nuc_N23,400
sc01,y2030,1/1/2030 2:00,Nuclear,Nuc_N24,400
sc01,y2030,1/1/2030 2:00,Hydro,Hyd_H25,0
sc01,y2030,1/1/2030 2:00,Hydro,Hyd_H26,0
sc01,y2030,1/1/2030 2:00,Hydro,Hyd_H27,99.2447251
sc01,y2030,1/1/2030 2:00,PumpedStorageHydro,Pum_H28,99.88889406
sc01,y2030,1/1/2030 2:00,PumpedStorageHydro,Pum_H29,0
sc01,y2030,1/1/2030 2:00,PumpedStorageHydro,Pum_H30,0
sc01,y2030,1/1/2030 2:00,Gas,Gas_C31,50
sc01,y2030,1/1/2030 2:00,Gas,Gas_C32,50
sc01,y2030,1/1/2030 2:00,Gas,Gas_C33,90
sc01,y2030,1/1/2030 2:00,Gas,Gas_C34,30
sc01,y2030,1/1/2030 2:00,Gas,Gas_C35,30
sc01,y2030,1/1/2030 2:00,Anthracite,Ant_C36,60
sc01,y2030,1/1/2030 2:00,Anthracite,Ant_C37,60
sc01,y2030,1/1/2030 2:00,Gas,Gas_C38,30
sc01,y2030,1/1/2030 2:00,Gas,Gas_C39,30
sc01,y2030,1/1/2030 2:00,Anthracite,Ant_C40,60
sc01,y2030,1/1/2030 2:00,Anthracite,Ant_C41,60
sc01,y2030,1/1/2030 2:00,Subbituminous,Sub_C42,0
sc01,y2030,1/1/2030 2:00,Subbituminous,Sub_C43,0
sc01,y2030,1/1/2030 2:00,Subbituminous,Sub_C44,0
sc01,y2030,1/1/2030 2:00,Subbituminous,Sub_C45,24.89800075
sc01,y2030,1/1/2030 2:00,Subbituminous,Sub_C46,1.18313825
sc01,y2030,1/1/2030 2:00,Subbituminous,Sub_C47,0
sc01,y2030,1/1/2030 2:00,Subbituminous,Sub_C49,0
sc01,y2030,1/1/2030 2:00,Subbituminous,Sub_C50,0
sc01,y2030,1/1/2030 2:00,Subbituminous,Sub_C51,0
sc01,y2030,1/1/2030 2:00,Subbituminous,Sub_C52,0
sc01,y2030,1/1/2030 2:00,Subbituminous,Sub_C53,0
sc01,y2030,1/1/2030 2:00,Gas,Gas_C54,30
sc01,y2030,1/1/2030 2:00,Gas,Gas_C55,50
sc01,y2030,1/1/2030 2:00,Nuclear,Nuc_N56,800
sc01,y2030,1/1/2030 2:00,Nuclear,Nuc_N57,800
sc01,y2030,1/1/2030 2:00,Hydro,Hyd_H58,0
sc01,y2030,1/1/2030 2:00,Hydro,Hyd_H59,0
sc01,y2030,1/1/2030 2:00,Hydro,Hyd_H60,100
sc01,y2030,1/1/2030 2:00,PumpedStorageHydro,Pum_H61,0
sc01,y2030,1/1/2030 2:00,PumpedStorageHydro,Pum_H62,0
sc01,y2030,1/1/2030 2:00,PumpedStorageHydro,Pum_H63,0
sc01,y2030,1/1/2030 2:00,Gas,Gas_C64,50
sc01,y2030,1/1/2030 2:00,Gas,Gas_C65,50
sc01,y2030,1/1/2030 2:00,Gas,Gas_C66,90
sc01,y2030,1/1/2030 2:00,Gas,Gas_C67,30
sc01,y2030,1/1/2030 2:00,Gas,Gas_C68,30
sc01,y2030,1/1/2030 2:00,Anthracite,Ant_C69,152
sc01,y2030,1/1/2030 2:00,Anthracite,Ant_C70,152
sc01,y2030,1/1/2030 2:00,Gas,Gas_C71,30
sc01,y2030,1/1/2030 2:00,Gas,Gas_C72,30
sc01,y2030,1/1/2030 2:00,Anthracite,Ant_C73,152
sc01,y2030,1/1/2030 2:00,Anthracite,Ant_C74,152
sc01,y2030,1/1/2030 2:00,Subbituminous,Sub_C75,0
sc01,y2030,1/1/2030 2:00,Subbituminous,Sub_C76,0
sc01,y2030,1/1/2030 2:00,Subbituminous,Sub_C77,0
sc01,y2030,1/1/2030 2:00,Subbituminous,Sub_C78,180
sc01,y2030,1/1/2030 2:00,Subbituminous,Sub_C79,180
sc01,y2030,1/1/2030 2:00,Subbituminous,Sub_C80,180
sc01,y2030,1/1/2030 2:00,Subbituminous,Sub_C82,0
sc01,y2030,1/1/2030 2:00,Subbituminous,Sub_C83,0
sc01,y2030,1/1/2030 2:00,Subbituminous,Sub_C84,0
sc01,y2030,1/1/2030 2:00,Subbituminous,Sub_C85,0
sc01,y2030,1/1/2030 2:00,Subbituminous,Sub_C86,0
sc01,y2030,1/1/2030 2:00,Gas,Gas_C87,50
sc01,y2030,1/1/2030 2:00,Gas,Gas_C88,50
sc01,y2030,1/1/2030 2:00,Nuclear,Nuc_N89,100
sc01,y2030,1/1/2030 2:00,Nuclear,Nuc_N90,100
sc01,y2030,1/1/2030 2:00,Hydro,Hyd_H91,0
sc01,y2030,1/1/2030 2:00,Hydro,Hyd_H92,0
sc01,y2030,1/1/2030 2:00,Hydro,Hyd_H93,0
sc01,y2030,1/1/2030 2:00,PumpedStorageHydro,Pum_H94,0
sc01,y2030,1/1/2030 2:00,PumpedStorageHydro,Pum_H95,0
sc01,y2030,1/1/2030 2:00,PumpedStorageHydro,Pum_H96,0
sc01,y2030,1/1/2030 2:00,Gas,Gas_C97,50
sc01,y2030,1/1/2030 2:00,Gas,Gas_C98,50
sc01,y2030,1/1/2030 2:00,Gas,Gas_C99,90
sc01,y2030,1/1/2030 2:00,Onshore_wind,Ons_W100,340.0539375
sc01,y2030,1/1/2030 2:00,Onshore_wind,Ons_W101,161.06193
sc01,y2030,1/1/2030 2:00,Onshore_wind,Ons_W102,250
sc01,y2030,1/1/2030 2:00,Onshore_wind,Ons_W103,250
sc01,y2030,1/1/2030 2:00,Onshore_wind,Ons_W104,161.06193
sc01,y2030,1/1/2030 2:00,Onshore_wind,Ons_W105,322.12386
sc01,y2030,1/1/2030 2:00,Solar_PV,Sol_S106,0
sc01,y2030,1/1/2030 2:00,Solar_PV,Sol_S107,0
sc01,y2030,1/1/2030 2:00,Solar_PV,Sol_S108,0.0225
sc01,y2030,1/1/2030 2:00,Solar_PV,Sol_S109,0
sc01,y2030,1/1/2030 2:00,Solar_PV,Sol_S110,0
sc01,y2030,1/1/2030 2:00,Solar_PV,Sol_S111,0.0225
sc01,y2030,1/1/2030 3:00,Gas,Gas_C1,25
sc01,y2030,1/1/2030 3:00,Gas,Gas_C2,25
sc01,y2030,1/1/2030 3:00,Anthracite,Ant_C3,60
sc01,y2030,1/1/2030 3:00,Anthracite,Ant_C4,60
sc01,y2030,1/1/2030 3:00,Gas,Gas_C5,25
sc01,y2030,1/1/2030 3:00,Gas,Gas_C6,25
sc01,y2030,1/1/2030 3:00,Anthracite,Ant_C7,60
sc01,y2030,1/1/2030 3:00,Anthracite,Ant_C8,60
sc01,y2030,1/1/2030 3:00,Subbituminous,Sub_C9,0
sc01,y2030,1/1/2030 3:00,Subbituminous,Sub_C10,0
sc01,y2030,1/1/2030 3:00,Subbituminous,Sub_C11,0
sc01,y2030,1/1/2030 3:00,Subbituminous,Sub_C12,0
sc01,y2030,1/1/2030 3:00,Subbituminous,Sub_C13,0
sc01,y2030,1/1/2030 3:00,Subbituminous,Sub_C14,0
sc01,y2030,1/1/2030 3:00,Subbituminous,Sub_C16,0
sc01,y2030,1/1/2030 3:00,Subbituminous,Sub_C17,0
sc01,y2030,1/1/2030 3:00,Subbituminous,Sub_C18,0
sc01,y2030,1/1/2030 3:00,Subbituminous,Sub_C19,0
sc01,y2030,1/1/2030 3:00,Subbituminous,Sub_C20,0
sc01,y2030,1/1/2030 3:00,Gas,Gas_C21,40
sc01,y2030,1/1/2030 3:00,Gas,Gas_C22,40
sc01,y2030,1/1/2030 3:00,Nuclear,Nuc_N23,400
sc01,y2030,1/1/2030 3:00,Nuclear,Nuc_N24,400
sc01,y2030,1/1/2030 3:00,Hydro,Hyd_H25,0
sc01,y2030,1/1/2030 3:00,Hydro,Hyd_H26,0
sc01,y2030,1/1/2030 3:00,Hydro,Hyd_H27,0
sc01,y2030,1/1/2030 3:00,PumpedStorageHydro,Pum_H28,0
sc01,y2030,1/1/2030 3:00,PumpedStorageHydro,Pum_H29,0
sc01,y2030,1/1/2030 3:00,PumpedStorageHydro,Pum_H30,0
sc01,y2030,1/1/2030 3:00,Gas,Gas_C31,46.55485665
sc01,y2030,1/1/2030 3:00,Gas,Gas_C32,50
sc01,y2030,1/1/2030 3:00,Gas,Gas_C33,110
sc01,y2030,1/1/2030 3:00,Gas,Gas_C34,25
sc01,y2030,1/1/2030 3:00,Gas,Gas_C35,25
sc01,y2030,1/1/2030 3:00,Anthracite,Ant_C36,60
sc01,y2030,1/1/2030 3:00,Anthracite,Ant_C37,60
sc01,y2030,1/1/2030 3:00,Gas,Gas_C38,25
sc01,y2030,1/1/2030 3:00,Gas,Gas_C39,25
sc01,y2030,1/1/2030 3:00,Anthracite,Ant_C40,60
sc01,y2030,1/1/2030 3:00,Anthracite,Ant_C41,60
sc01,y2030,1/1/2030 3:00,Subbituminous,Sub_C42,0
sc01,y2030,1/1/2030 3:00,Subbituminous,Sub_C43,0
sc01,y2030,1/1/2030 3:00,Subbituminous,Sub_C44,0
sc01,y2030,1/1/2030 3:00,Subbituminous,Sub_C45,24.89800075
sc01,y2030,1/1/2030 3:00,Subbituminous,Sub_C46,1.18313825
sc01,y2030,1/1/2030 3:00,Subbituminous,Sub_C47,0
sc01,y2030,1/1/2030 3:00,Subbituminous,Sub_C49,0
sc01,y2030,1/1/2030 3:00,Subbituminous,Sub_C50,0
sc01,y2030,1/1/2030 3:00,Subbituminous,Sub_C51,0
sc01,y2030,1/1/2030 3:00,Subbituminous,Sub_C52,0
sc01,y2030,1/1/2030 3:00,Subbituminous,Sub_C53,0
sc01,y2030,1/1/2030 3:00,Gas,Gas_C54,30
sc01,y2030,1/1/2030 3:00,Gas,Gas_C55,40
sc01,y2030,1/1/2030 3:00,Nuclear,Nuc_N56,800
sc01,y2030,1/1/2030 3:00,Nuclear,Nuc_N57,800
sc01,y2030,1/1/2030 3:00,Hydro,Hyd_H58,0
sc01,y2030,1/1/2030 3:00,Hydro,Hyd_H59,0
sc01,y2030,1/1/2030 3:00,Hydro,Hyd_H60,100
sc01,y2030,1/1/2030 3:00,PumpedStorageHydro,Pum_H61,0
sc01,y2030,1/1/2030 3:00,PumpedStorageHydro,Pum_H62,0
sc01,y2030,1/1/2030 3:00,PumpedStorageHydro,Pum_H63,0
sc01,y2030,1/1/2030 3:00,Gas,Gas_C64,60
sc01,y2030,1/1/2030 3:00,Gas,Gas_C65,60
sc01,y2030,1/1/2030 3:00,Gas,Gas_C66,110
sc01,y2030,1/1/2030 3:00,Gas,Gas_C67,35
sc01,y2030,1/1/2030 3:00,Gas,Gas_C68,35
sc01,y2030,1/1/2030 3:00,Anthracite,Ant_C69,152
sc01,y2030,1/1/2030 3:00,Anthracite,Ant_C70,152
sc01,y2030,1/1/2030 3:00,Gas,Gas_C71,35
sc01,y2030,1/1/2030 3:00,Gas,Gas_C72,35
sc01,y2030,1/1/2030 3:00,Anthracite,Ant_C73,152
sc01,y2030,1/1/2030 3:00,Anthracite,Ant_C74,152
sc01,y2030,1/1/2030 3:00,Subbituminous,Sub_C75,0
sc01,y2030,1/1/2030 3:00,Subbituminous,Sub_C76,0
sc01,y2030,1/1/2030 3:00,Subbituminous,Sub_C77,0
sc01,y2030,1/1/2030 3:00,Subbituminous,Sub_C78,100
sc01,y2030,1/1/2030 3:00,Subbituminous,Sub_C79,100
sc01,y2030,1/1/2030 3:00,Subbituminous,Sub_C80,100
